ProjectID,Partner,Project,Project_Status,Pillars_supported_by_project,Activities_conducted,Other_nonpPillar_activities,Implementing_partner,Regions,Districts
ID-110,Adventist Development & Relief Agency (ADRA),COVID-19 Awareness & Mitigation Project,new project,"Coordination, Infection prevention, WASH, Risk communications, other","Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH",,Religious Leaders (IRCU members),"Acholi, Kampala, Karamoja, Toro","Kitgum, Agago, Pader, Kampala, Kaabong, Kotido, Abim, Kyegegwa, Kamwenge"
ID-112,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA),Karamoja United Nations HIV programme (KARUNA),ongoing project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Activation of National Task Force, district task force and sub-committees, Monitor and supervise implementation of the plan by the national level, Develop and issue information products including situational reports on COVID-19, Orientation for surge staff Orientation and deployment of the COVID-19 National Rapid Response Team Conduct rapid assessments by National Rapid Response Team, Technical support to local governments on COVID-19, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Identify all centres of risk and assess them for potential foci of undetected circulation of the virus, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Orientation of Health care workers in intensive care unit, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Implement Budget tracking and activity reporting system for the COVID-19 response, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus supplies personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Facilitation for COVID Response Teams",,Karamoja United Nations HIV Programme (KARUNA) Ips,"Kampala, Karamoja","Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Kampala, Moroto, Amudat, Moroto"
ID-113,Trócaire,COVID-19 EMERGENCY RESPONSE FUND PROJECT.,new project,"Coordination, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the communityProcurement of sanitizers, Procurement of soap, Facilitation for COVID Response Teams",,"Caritas Gulu, Don Bosco",Acholi,Lamwo
ID-114,Trócaire,COVID-19 Activities,ongoing project,"Coordination, WASH, Mental health, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Finalize psychosocial support materials, supplies,Procurement of soap, Procurement of water tanks, Facilitation for COVID Response Teams",COVID-19 RESPONSE PROJECT IN ACHOLI AND TESO.,"African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA, GULU ARCH DIOCESE, ","Acholi, Teso","Lamwo, Gulu, Bukedea, Amuria, Katakwi, Kalaki, "
ID-115,Trócaire,COVID-19 RESPONSE PROJECT IN ACHOLI AND TESO-UGANDA-IRISH EMBASSY,new project,"Coordination, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, improvement of WASHcash supplies, procureProcurement of water tanks, Facilitation for COVID Response Teams",Food distribution/support and food security; Radio programmes on GBV amidst; Access to other medical essential  services.services COVID-19,"Caritas Gulu, Don Bosco, TEDDO","Acholi, Teso","Lamwo, Bukedea Kalaki"
ID-118,AWO International,Preparing communities to prevent and respond to COVID-19 in Isingiro District of Uganda,new project,"WASH, Risk communications, other","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, supplies personnel, ",,COVOID Community Volunteer Initiative for Development,Ankole,Isingiro
ID-119,AWO International,Mitigating effects of locust invasion meetingCoronavirus requirements for implementation in 2 districts in Karamoja,new project,"WASH, Risk communications, other","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH",,ECO Ecological Christian Organisation,Karamoja,"Napak, Nabilatuk"
ID-120,Mission Aviation Fellowship (MAF),Covid-19 activities only,ongoing project,"Logistics, other","Transport arrangements for medical staff, ",provision of subsidised flight services to upcountry airfields to facilitate staff and cargo  transport,"Church Mission NGO's, Government","Karamoja, West Nile","Moroto, Kaabong, Kotido, Amudat, Adjumani, Arua, Moyo"
ID-121,ALIGHT ( Formerly American Refugee Committee),WASH ACTIVITIES,new project,"Coordination, Infection prevention, WASH, Mental health, Human resource","Technical support to local governments on COVID-19, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities by the central team, ",,Implemented by ALIGHT with Sub-grantees CBOs ( Wakati Foundation and Opportunigee),Ankole,Isingiro
ID-123,United Nations High Commissioner For Refugees,Preparedness and Response in Refugee Hosting districts,new project,"Coordination, Infection prevention, Surveillance, Case management, WASH,  Mental health, Risk communications, Logistics, Human resource","Activation of National Task Force, district task force and sub-committees, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Orient Health workers on COVID-19 surveillance,Contact identification, contact tracing, and contact follow up and contacts of contacts, Activate Ambulance services to aid referral of patients, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, improvement of WASH supplies, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Procurement of infared thermometers, fuel ambulances_procurement procure_icu_equipment Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Procurement of Sprayer,trigger bottle,handheld,1 liter, Procurement of soap, _boots Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs,  Ensure remuneration and compensation of health care providers Facilitation for COVID Response Teams",,"MTI, IRC, OXFAM, NSAMIZI, LWF, WMU","Acholi, Ankole, Bunyoro, Toro, West Nile","Lamwo, Isingiro, Kikuube, Kiryandongo, Kyegegwa, Kamwenge, Yumbe, Adjumani, Arua, Koboko, Madiokollo, Obongi, Lamwo"
ID-124,CARE International,Women and Youth Resilience Project,ongoing project,"Case management, Mental health, Risk communications, other","Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Finalize psychosocial support materials, supplies, ",,"Partners for Community Health and Development organisations, Community Empowerment for Rural Development","Acholi, West Nile","Gulu, Arua"
ID-125,Norwegian Refugee Council (NRC),"Support setting up isolation shelter and renovation works (new facilities & old), supply of handwashing facilities and soap to health centres, support with fuel at district level and support with water storage tanks",new project,"Coordination, Infection prevention, WASH,  Mental health, Risk communications, Logistics, other","Technical support to local governments on COVID-19, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, supplies, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), fuel Provision of mattresses and beddings for isolation centres Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Procurement of Sprayer,trigger bottle,handheld,1 liter, Procurement of soap, Procurement of water tanks Chlorination, Improvement of WASH facilities in Isolation/Quaranteen centres, Construction / rehabilitation of 10 sanitation facilities in health centres and hospitals Procure boots, ",Multipurpose cash to support the most vulnerable during the lockdown,AHA,"Ankole, Bunyoro, Kampala, West Nile","Isingiro, Kikuube, Hoima, Kampala, Yumbe, Adjumani, Arua"
ID-128,International Rescue Committee (IRC),None,new project,other, ,,,Kampala,Kampala
ID-129,International Rescue Committee (IRC),CORE Group Polio Project (CGPP),ongoing project,"Surveillance, Risk communications, other","Orient Health workers on COVID-19 surveillance, supplies personnel",,,"Acholi, West Nile","Lamwo, Yumbe"
ID-130,International Rescue Committee (IRC),Enhancing the resilience of urban refugees and vulnerable host communities in Kampala through an integrated protection and livelihoods approach,ongoing project,"Risk communications, other",supplies,,,Kampala,Kampala
ID-132,International Rescue Committee (IRC),"Provision of Protection, Legal, Community-Based Protection I Services, SGBV, Child Protection, Psychosocial Support and : Health and Nutrition Services for Refugees residing in Arua, Yumbe, and Lamwo",ongoing project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Human resource","Orientation for surge staff Technical support to local governments on COVID-19, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions,Printing and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Activate Ambulance services to aid referral of patients, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, improvement of WASH Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusFinalize psychosocial support materials, supplies personnel, Recruitmement of surge staff, Ensure remuneration and compensation of responders, Ensure remuneration and compensation of health care providers,",,TPO,"Acholi, West Nile","Lamwo, Yumbe, Arua"
ID-134,Living Goods,Supporting government to have a coordinated community response on prevention detection and response to COVID-19,ongoing project," Coordination, Infection prevention, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resource ","Activation of National Task Force, district task force and sub-committees, Develop and issue information products including situational reports on COVID-19,  Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Widen scope of implementation of eMeeting, Emergency Hotline, Strengthen the District routine  reporting data, Facilitation for COVID Response Teams",,"DL, DL and Community Health workers","Busoga, Elgon, Kampala, Southbuganda, Teso, Elgon, Lango ","Kamuli, Iganga, Jinja, Mbale, Kampala, Masaka, Wakiso, Soroti, Sironko, Lira"
ID-135,Oxfam,"Support for Community Based Initiatives for COVID-19 Preparedness and Response in Rhino/Omugo Refugee Settlement, Arua, Uganda",new project," Infection prevention,   WASH,   Risk communications,  other ","Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH Support the operationalization of WASH committees in the community",,"YSAT, YSAT, Oxfam, YSAT, Oxfam",Westnile,Arua
ID-136,International Rescue Committee (IRC),"Access, protection, empowerment, accountability, and leadership",new project,"Mental health, Risk communications, other","Supervise and monitor psychosocial services in the affected communities by the central team, supplies personnel",,,Toro,Kyegegwa
ID-137,International Rescue Committee (IRC),Unrestricted internal emergency response funds from IRC,new project,"Infection prevention, Case management, Logistics, other","Procure or construct IPC materials for health facilities, Activate Ambulance services to aid referral of patients, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Procurement of other medical equipment, Procurement of sanitizers",,,"Acholi, Bunyoro, Kampala, Toro, West Nile","Lamwo, Kagadi, Kampala, Kyegegwa Kasese, Yumbe, Arua"
ID-138,International Rescue Committee (IRC),Supporting government to have a coordinated community response on prevention detection and response to COVID-19,ongoing project,"Coordination, Infection prevention, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Activation of National Task Force, district task force and sub-committees, Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID-19, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Widen scope of implementation of eMeeting, Emergency Hotline, Strengthen the District routine reporting data, supplies personnel, Facilitation for COVID Response Teams",Developed bguidelines fofr the MONH for covid 19,"DL, Community Health workers","Busoga, Elgon, Kampala, South Buganda, Teso, Elgon, Lango","Kamuli, Iganga, Jinja, Mbale, Kampala, Masaka, Wakiso, Soroti, Sironko, Mbale, Lira"
ID-139,International Rescue Committee (IRC),"Support for Community Based Initiatives for COVID-19 Preparedness and Response in Rhino/Omugo Refugee Settlement, Arua, Uganda",new project,"Infection prevention, WASH, Risk communications, other","Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community,supplies",,"YSAT, Oxfam",West Nile,Arua
ID-140,International Rescue Committee (IRC),COVID-19 activities,ongoing project,"WASH, Risk communications, other","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community ","Improving the safety and self-reliance of conflict affected displaced populations and host communities in DRC and Uganda:  Integrated WASH, EFSVL and Protection",,Toro,Kyegegwa
ID-141,Ministry of Security,Surviellence,ongoing project,"Surveillance, other","Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Define containment measures including geographical cordoning ",,,"Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, North Buganda, South Buganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-142,United States Agency for International Development,Uganda Health Supply Chain (UHSC),ongoing project,"Coordination, Logistics, Human resource","Recruitmement of surge staff, ",,Management Sciences for Health (MSH),Kampala,Kampala
ID-143,United States Agency for International Development,Communication for Health Communities,ongoing project,"Coordination, Risk communications, other",personnel,,FHI 360,Kampala,Kampala
ID-144,Humanity & Inclusion,Physical Rehabilitation for Persons with Disabilities,ongoing project,"Mental health, Risk communications, Logistics, other","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Procurement of sanitizers, Procurement of soap, ",continuation of acute care for person with disabilities,,West Nile,Arua
