District,Coordination_n,PreventionControl_n,Surveillance_n,CaseManagement_n,WASH_n,ICTInnovation_n,RiskCommunication_n,MentalHealth_n,Logistics_n,HumanResources_n,Coordination,PreventionControl,Surveillance,CaseManagement,WASH,ICTInnovation,RiskCommunication,MentalHealth,Logistics,HumanResources
BUDAKA,2,2,3,2,2,4,4,2,4,1,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
BUDUDA,2,2,3,2,2,4,4,1,4,2,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
BUGIRI,1,2,3,2,2,3,4,2,4,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International |  World Vision Uganda,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda
BUGWERI,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
BUHWEJU,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
BUIKWE,3,3,3,2,3,3,5,2,4,3,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  World Vision Uganda,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,LifeNet International |  World Health Organisation |  World Vision Uganda
BUKEDEA,3,2,3,2,3,3,5,2,4,3,Street Child of Uganda |  Trócaire |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International |  Street Child of Uganda |  Trócaire,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Street Child of Uganda |  Trócaire |  UNICEF |  World Health Organisation,Street Child of Uganda |  World Health Organisation,Trócaire |  UNICEF |  United States Agency for International Development |  World Health Organisation,Trócaire |  UNICEF |  World Health Organisation
BUKOMANSIMBI,2,2,3,2,2,3,4,1,4,2,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
BUKWO,2,2,3,2,1,3,3,1,3,1,Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
BULAMBULI,2,2,3,2,2,4,4,2,4,1,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
BULIISA,1,1,2,1,2,2,4,3,3,2,World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International |  World Vision Uganda,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,Finnish Mission Uganda / Fida International |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda
BUNDIBUGYO,4,4,4,4,4,4,7,4,5,4,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Save the Children International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Save the Children International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  Save the Children International |  UNICEF |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  Save the Children International |  World Health Organisation |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  UNICEF |  World Health Organisation |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  World Health Organisation |  World Vision Uganda
BUNYANGABU,2,2,3,2,2,3,4,1,3,2,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  UNICEF |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation
BUSHENYI,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
BUSIA,3,2,3,2,3,4,5,3,5,3,ChildFund International |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  World Vision Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  World Health Organisation |  World Vision Uganda,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
BUTALEJA,2,2,3,2,3,4,5,3,5,2,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  World Vision Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  World Health Organisation |  World Vision Uganda,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda
BUTAMBALA,2,2,3,2,2,3,4,2,3,2,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation |  World Vision Uganda,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
BUTEBO,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
BUVUMA,1,1,2,1,1,2,3,1,2,1,World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  World Health Organisation,World Health Organisation
BUYENDE,2,3,4,3,2,3,4,1,4,1,Plan International Uganda |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Plan International Uganda,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Plan International Uganda |  UNICEF |  World Health Organisation,World Health Organisation,Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
DOKOLO,3,3,3,3,3,4,4,3,4,2,ChildFund International |  UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  UNICEF |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
GOMBA,1,1,2,1,1,2,3,1,2,1,World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  World Health Organisation,World Health Organisation
GULU,4,3,1,4,5,2,6,4,5,3,ChildFund International |  Trócaire |  UNICEF |  Voluntary Services Overseas (VSO),Takataka Plastics |  UNICEF |  Voluntary Services Overseas (VSO),Voluntary Services Overseas (VSO),CARE International |  Save the Children International |  UNICEF |  Voluntary Services Overseas (VSO),ChildFund International |  Trócaire |  UNICEF |  Voluntary Services Overseas (VSO) |  World Vision Uganda,ChildFund International |  Voluntary Services Overseas (VSO),CARE International |  ChildFund International |  Save the Children International |  UNICEF |  Voluntary Services Overseas (VSO) |  World Vision Uganda,CARE International |  ChildFund International |  Save the Children International |  UNICEF,ChildFund International |  Takataka Plastics |  UNICEF |  Voluntary Services Overseas (VSO) |  World Vision Uganda,UNICEF |  Voluntary Services Overseas (VSO) |  World Vision Uganda
HOIMA,7,5,4,4,6,3,9,4,7,4,Finnish Mission Uganda / Fida International |  Medical Teams International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation,Finnish Mission Uganda / Fida International |  Medical Teams International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Finnish Mission Uganda / Fida International |  Medical Teams International |  Ministry of Security |  World Health Organisation,Medical Teams International |  UNICEF |  Wome Uganda |  World Health Organisation,Farm Radio International |  Finnish Mission Uganda / Fida International |  Norwegian Refugee Council (NRC) |  UNICEF |  Wome Uganda |  World Vision Uganda,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Farm Radio International |  Finnish Mission Uganda / Fida International |  Medical Teams International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation |  World Vision Uganda,Finnish Mission Uganda / Fida International |  UNICEF |  World Health Organisation |  World Vision Uganda,Finnish Mission Uganda / Fida International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation |  World Vision Uganda,UNICEF |  Wome Uganda |  World Health Organisation |  World Vision Uganda
IBANDA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
IGANGA,5,4,5,3,2,4,4,1,4,3,Clinton Health Access Initiative |  International Rescue Committee (IRC) |  LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Street Business School |  United States Agency for International Development |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,LifeNet International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  United States Agency for International Development |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation
