District,Coordination_n,PreventionControl_n,Surveillance_n,RiskCommunication_n,MentalHealth_n,ICTInnovation_n,WASH_n,Logistics_n,HumanResources_n,CaseManagement_n,Coordination,PreventionControl,Surveillance,CaseManagement,RiskCommunication,MentalHealth,ICTInnovation,WASH,Logistics,HumanResources
IBANDA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
ISINGIRO,9,6,6,2,15,12,11,7,6,7,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | Tutapona | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation,Farm Radio International | Tutapona | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | AWO International | Farm Radio International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ALIGHT ( Formerly American Refugee Committee) | AWO International | Danish Refugee Council (DRC) | Farm Radio International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation
KAZO,28,25,22,17,7,10,1,26,26,27,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
KIRUHURA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
MBARARA,30,27,24,19,11,10,1,27,27,29,Farm Radio International | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Medical Teams International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
MITOOMA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
NTUNGAMO,30,27,23,17,12,10,4,27,28,29,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,UNICEF | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
RUBIRIZI,29,26,23,17,11,10,1,27,28,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
RWAMPARA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
SHEEMA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
BUDAKA,30,26,23,19,12,11,4,28,29,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
BUSIA,2,26,24,21,13,12,8,3,3,28,ChildFund International | Farm Radio International | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | World Vision Uganda,ChildFund International | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda
BUTALEJA,30,26,23,20,13,11,7,1,1,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | World Vision Uganda,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation | World Vision Uganda
BUTEBO,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
KIBUKU,30,26,23,19,12,11,4,28,29,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
PALLISA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
TORORO,2,28,2,21,12,10,7,2,1,30,Farm Radio International | Ministry of Security | Plan International Uganda | Tackling Deadly Diseases in Africa Programme (TDDAP) | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | Plan International Uganda | World Vision Uganda,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation
BULIISA,28,26,22,19,13,9,4,27,27,28,Farm Radio International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda,Finnish Mission Uganda / Fida International | World Health Organisation | World Vision Uganda,Farm Radio International | World Health Organisation,Farm Radio International | World Vision Uganda,Farm Radio International | Ministry of Security | UNICEF | World Health Organisation | World Vision Uganda,Farm Radio International | Ministry of Security | World Health Organisation | World Vision Uganda
HOIMA,5,4,3,2,15,11,10,4,3,4,Farm Radio International | Finnish Mission Uganda / Fida International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation,Farm Radio International | Finnish Mission Uganda / Fida International | Infectious Diseases Institute | Makerere University | Medical Teams International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation,Farm Radio International | Finnish Mission Uganda / Fida International | Medical Teams International | Ministry of Security | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Medical Teams International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation,Farm Radio International | Finnish Mission Uganda / Fida International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Finnish Mission Uganda / Fida International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Finnish Mission Uganda / Fida International | Norwegian Refugee Council (NRC) | UNICEF | Womena Uganda | World Vision Uganda,Farm Radio International | Finnish Mission Uganda / Fida International | Ministry of Security | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Farm Radio International | Finnish Mission Uganda / Fida International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda
KAGADI,2,1,25,21,12,9,8,2,29,2,Clinton Health Access Initiative | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation,Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation,Farm Radio International | International Rescue Committee (IRC) | UNICEF | World Health Organisation | World Vision Uganda,World Health Organisation | World Vision Uganda,Farm Radio International | World Health Organisation,Farm Radio International | International Rescue Committee (IRC) | World Vision Uganda,Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | UNICEF | World Health Organisation | World Vision Uganda,Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation
KAKUMIRO,30,26,22,17,12,9,1,26,26,28,Clinton Health Access Initiative | Farm Radio International | Finnish Mission Uganda / Fida International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,Finnish Mission Uganda / Fida International | World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | World Health Organisation,Farm Radio International | Ministry of Security | World Health Organisation
KIBAALE,29,26,22,19,12,9,4,27,27,28,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | Ministry of Security | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda,World Health Organisation | World Vision Uganda,Farm Radio International | World Health Organisation,Farm Radio International | World Vision Uganda,Farm Radio International | Ministry of Security | UNICEF | World Health Organisation | World Vision Uganda,Farm Radio International | Ministry of Security | World Health Organisation | World Vision Uganda
KIKUUBE,13,12,8,12,3,13,2,14,13,9,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Malteser International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Farm Radio International | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Farm Radio International | Malteser International | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Infectious Diseases Institute | Makerere University | Medical Teams International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Humanity & Inclusion | Lutheran World Federation | Malteser International | Medical Teams International | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Humanity & Inclusion | Malteser International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Farm Radio International | Lutheran World Federation | Malteser International | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Humanity & Inclusion | Lutheran World Federation | Malteser International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Humanity & Inclusion | Lutheran World Federation | Malteser International | Ministry of Security | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
