ProjectID,Partner,Project,Project_Status,Pillars_supported_by_project,Activities_conducted,Other_nonpPillar_activities,Implementing_partner,Regions,Districts
ID-20,Farm Radio International,Supporting African Broadcasters in their COVID-19 Service to Farmers,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Pay Telecommunications UTL toll free for call center, ",NA,"MOH, MOH, MOH and local radio partners","Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-21,Dan Church Aid (DCA),DCA Humanitarian Partnership,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,"Self implementation, Self implementation, Self implementation",West Nile,"Yumbe, Arua"
ID-22,Dan Church Aid (DCA),Increased resilience of refugees and host communities in Arua and Lamwo District through a more effective and coordinated response during sudden emergencies.,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,NA,,"Acholi, West Nile, Acholi","Lamwo, Arua, Madiokollo, Lamwo, Yumbe, Arua, Koboko, Madiokollo"
ID-23,Dan Church Aid (DCA),"Emergency Response to COVID-19 Crisis in Refugee Settlement Areas of Bidibidi, Imvepi, Rhino, Lobule, and Kiryadongo",new_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,The Inter Religious Council of Uganda (IRCU); Church of Uganda Teso Diocese Development Organization (TEDDO),"Bunyoro, Kampala, West Nile, Bunyoro, Kampala, West Nile, West Nile","Kiryandongo, Kampala, Yumbe, Arua, Koboko, Madiokollo, Kiryandongo, Arua, Koboko, Madiokollo"
ID-24,WaterAid Uganda,Sustainable WASH project,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, ",None,Kampala Capital City Authority,Kampala,Kampala
ID-25,Medical Teams International,Comprehensive Health Care for Refugee Hosting Districts,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,,"Ankole, Bunyoro, Kigezi, Toro, West Nile, Ankole, Bunyoro, Kigezi, Toro, West Nile","Mbarara, Isingiro, Kikuube, Hoima, Kanungu, Kisoro, Kyegegwa, Kamwenge, Ntoroko, Adjumani, Moyo, Obongi, Mbarara, Isingiro, Kabale"
ID-26,Food for the Hungry,COVID-19 Activities,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., ",NA,"District task force and other district teams, District health teams, District teams, district health teams, District health teams, District health teams","Acholi, Busoga, Lango, Acholi, Busoga, Elgon, Lango, West Nile, Acholi, Busoga, Lango, West Nile, Elgon, Acholi, Busoga","Lamwo, Kitgum, Namutumba, Kole, Lamwo, Kitgum, Kween, Mbale, Adjumani, Kitgum, Kween"
ID-27,Street Child of Uganda,Prevent. Prepare. Protect - Supporting the world’s most vulnerable families during COVID-19,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities by the central team, ",Provision of essential food and non-food items for those families who are suffering from lockdown,"AWYAD, CHAU, YARID, Build Africa, AWYAD, CHAU, YARID, Build Africa, 2000, AWYA, CHAU, Build Africa, YARID, 2000","Acholi, Bunyoro, Lango, Southbuganda, Teso, Toro, Acholi, Bunyoro, Lango, Southbuganda, Teso, Toro","Lamwo, Kiryandongo, Oyam, Lyantonde, Bukedea, Kyegegwa, Lamwo"
ID-28,Korea Foundation for International Healthcare(KOFIH),COVID19 Response on Emergency Medical Service,new_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,"""Procurement of Consultancy for Development of COVID 19 Emergency Guidelines"".""Orientation of drivers and ambulance assistants in pre-hospital care response to COVID-19""""Procurement of Personal Portective Equipment for Emergency COVID-19  Response "", ""Training of Call and Dispatch Officers on Call Processing"", ""Equip the isolation unit in MasakaRRH"", ""COVID19 Test kit""","Ministry of Health (funding directly to the government), Masaka RRH, Ministry of Health, UVRI,KOFIH, Ministry of Health, Emergency Care Society, It is overlapping with above activities","Southbuganda, Kampala, Kampala, Southbuganda","Masaka, Kampala, Masaka, Bukomansimbi, Masaka"
ID-29,Street Business School,SMS Health Education,new_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,NA,,"Busoga, Kampala, Northbuganda, Southbuganda, Busoga, Kampala, Northbuganda, Southbuganda","Iganga, Kampala, Buikwe, Luwero, Kayunga, Mukono, Wakiso, Mpigi, Iganga, Wakiso"
ID-30,Tutapona,Covid-19 Activities only,new_project,"Coordination, Infection prevention, Surveillance, Case management, ICT innovations, Mental health, Logistics, Human resource","Telemedicine/telehealth approaches during and after Covid-19 pandemic, ",NA,,"Ankole, West Nile, Ankole, West Nile","Isingiro, Adjumani, Isingiro"
ID-31,Tutapona,Hero's Project Radio Program,new_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,,West Nile,Adjumani
ID-32,ZOA,Amudat Covid-19 response,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, ",Provision of 360 liter fuel for district and subcounty task group;,,Karamoja,Amudat
ID-33,ZOA,Acholi Covid-19 response,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, ",Providing 2000 liter fuel for the corona district task force,,Acholi,"Omoro, Nwoya"
ID-34,ZOA,Education Covid-19 response West Nile,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, ",NA,,West Nile,Arua
ID-35,ZOA,Amudat Education Covid-19 Response,new_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,,Karamoja,Amudat
ID-36,Malteser International,"Emergency Response project for the Coronavirus disease 2019 (COVID-19) pandemic in South West, Mid-West and Kampala Regions in Uganda.",new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",NA,"CAFOMI (Care and Assistance for Forced Migrants), CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI","Bunyoro, Kampala, Kigezi, Toro, Bunyoro, Kampala, Kigezi, Toro","Kikuube, Kampala, Kanungu, Kisoro, Ntoroko, Kikuube, Kanungu"
ID-37,Malteser International,Emergency Medical Services Project,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,Setting up of a COVID-19 Isolation Unit at Lubaga hospital.,"AAPU, Lubaga Hospital and Naguru hospital, Lubaga Hospital, Naguru Hospital and Arua Regional Refferral","Kampala, Kampala, West Nile, Kampala","Kampala, Kampala, Arua"
ID-38,Malteser International,Integrated Project for the improvement of Food & Nutrition Security and the provision of safe drinking water in underserved communities in the peri-urban areas of Wau and for the South Sudanese Refugees and their host communities in Northern Uganda.,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, ",NA,,"West Nile, West Nile","Yumbe, Arua, Madiokollo, Arua, Madiokollo"
ID-39,Malteser International,AA Regional Emergency Response Project,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, ",NA,,West Nile,"Arua, Madiokollo"
ID-40,Finnish Mission Uganda / Fida International,Health Component,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, ",Education In Emergencies,"Pentecostal Churches of Uganda together with us, Pentecostal Churches of Uganda with us, Pentecostal Churches of Uganda with us, Pentecostal churches of Uganda, Pentecostal churches of Uganda with us","Bunyoro, Kampala, Teso, West Nile, Bunyoro, Kampala, Teso, West Nile, Bunyoro, Teso, West Nile, Bunyoro, Teso, Bunyoro, Kampala, Teso","Masindi, Kakumiro, Hoima, Kampala, Amuria, Yumbe, Nebbi, Masindi, Hoima, Yumbe, Masindi, Buliisa, Kakumiro, Kiryandongo, Hoima, Masindi, Kiryandongo, Hoima, Soroti, Amuria"
ID-41,Finnish Mission Uganda / Fida International,Education Component,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Logistics, Human resource","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, ",Provision of Learning Materials to vulnerable children,,"West Nile, West Nile","Yumbe, Yumbe"
ID-42,World Vision Uganda,COVID19 Actvities,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, ",NA,,"Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, Kampala","Omoro, Gulu, Agago, Pader, Busia, Tororo, Butaleja, Kagadi, Kibaale, Buliisa, Hoima, Bugiri, Mayuge, Mbale, Kampala, Kaabong, Kotido, Abim, Karenga, Kole, Oyam, Buikwe, Kiboga, Mpigi, Rakai, Soroti, Amuria, Kapelebyong, Kamwenge, Bundibugyo, Yumbe, Adjumani, Arua, Moyo, Obongi, Omoro, Agago, Pader, Busia, Butaleja, Mpigi, Butambala, Rakai, Omoro, Gulu, Agago, Pader, Kagadi, Kibaale, Kikuube, Buliisa, Hoima, Kibaale, Kikuube, Buliisa, Hoima, Kole, Otuke"
ID-43,Doctors with Africa CUAMM,COVID-19 activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Strengthen the District routine  reporting data, ",NA,,"Karamoja, Lango","Moroto, Nakapiripirit, Napak, Amudat, Nabilatuk, Oyam"
ID-44,Doctors with Africa CUAMM,COVID-19 Activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, ICT innovations, Logistics, Human resource","Strengthen the District routine  reporting data, ",NA,,Karamoja,"Moroto, Nakapiripirit, Napak, Amudat, Nabilatuk"
ID-45,LifeNet International,Medical Training & Quality of Care Improvement,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",NA,,"Busoga, Kampala, Northbuganda, Southbuganda, Busoga, Kampala, Northbuganda, Southbuganda","Iganga, Jinja, Mayuge, Kampala, Buikwe, Luwero, Nakasongola, Mubende, Mukono, Nakaseke, Mityana, Masaka, Wakiso, Bukomansimbi, Mpigi, Lwengo, Ssembabule, Butambala, Rakai, Iganga, Jinja, Mayuge, Masaka, Wakiso, Bukomansimbi, Lwengo, Ssembabule, Butambala, Rakai, Masaka, Wakiso, Bukomansimbi, Lwengo, Butambala, Rakai"
ID-46,Broederlijk Delen,COVID-19 activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,"FAPAD in Lira and Amolatar, KRC in Fort Portal / Kabarole","Lango, Toro","Amolatar, Lira, Kabarole"
ID-47,Danish Refugee Council (DRC),UNHCR protection programming (refugee support),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Implement Budget tracking and activity reporting system for the COVID-19 response, Widen scope of implementation of eMeeting, Emergency Hotline, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, ",NA,"HADS in Lobule, HADS in Lobule","West Nile, West Nile","Arua, Koboko, Arua, Koboko"
ID-48,Danish Refugee Council (DRC),NURI,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,Cash for work for communities (small group of 5) and fuel support to district task force,,"Acholi, West Nile, Acholi, West Nile, West Nile","Lamwo, Kitgum, Agago, Pakwach, Zombo, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Lamwo, Kitgum, Agago, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo"
ID-49,Danish Refugee Council (DRC),DANIDA protection programming (refugee support),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., ",NA,,West Nile,Arua
ID-50,Danish Refugee Council (DRC),EUTF Support Programme to the Refugee Settlements and Host Communities in Northern Uganda (SPRS-NU),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,"Direct materials support to district task force (fuel, transport",CEFORD and Save the children,West Nile,"Yumbe, Adjumani"
ID-51,Danish Refugee Council (DRC),ECHO cash programming (refugee support),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,Unconditional cash support to cover basic non food needs to most vulnerable new arrivals refugees,,"Ankole, Toro","Isingiro, Kyegegwa"
ID-52,Samaritan's Purse,COVID-19 activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,NA,,Kampala,Kampala
ID-53,Samaritan's Purse,COVID-19 Response,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., ",NA,,Kampala,Kampala
ID-54,Womena Uganda,Menstrual health intervention in relation to Gender-based violence (GBV),new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., ",NA,,"Acholi, Bunyoro, Kampala, West Nile","Gulu, Hoima, Kampala, Adjumani"
ID-55,Jesuit Regufee Service (JRS),Kampala Project,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Mental health, Risk communications, Logistics, Human resource",,NA,,Kampala,Kampala
ID-56,Jesuit Regufee Service (JRS),Adjumani Project,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Mental health, Logistics, Human resource",,NA,,West Nile,Adjumani
ID-57,U-LEARN,COVID-19 Activities Only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, ICT innovations, Risk communications, Logistics, Human resource","Implement Budget tracking and activity reporting system for the COVID-19 response, Sofware development, ",NA,,Kampala,Kampala
ID-58,Conservation Through Public Health,"Training of park staff, porters, community volunteers and Village  Health  and Conservation Teams in containing COVID-19",new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",No other activities apart from training and provision of posters to prevent COVID spread among people and between people and gorillas,"Uganda Wildlife Authority,  Bwindi Community Hospital, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, Internatinal Gorilla Conservation Programme, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildlife Authority, Solidaridad, International Gorilla Conservation Programme, Max Planck Institute, Uganda Wildlife Authority",Kigezi,"Rubanda, Kanungu, Kisoro"
ID-59,Conservation Through Public Health (CTPH),"Preventing COVID-19 among people and between people and gorillas at Bwindi Impenetrable National Park, SW Uganda",new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",Advocacy about the risk of SARS-COV2 leading to the COVID-19 disease spread between people and  animals,"CTPH working with Uganda Wildlife Authority, Bwindi Community Hospital, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, CTPH working with Solidaridad, Uganda Wildlife Authority, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme",Kigezi,"Rubanda, Kanungu, Kisoro"
ID-60,ChildFund International,Community resilience against COVID-19 through WASH and social protection,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Widen scope of implementation of eMeeting, ",NA,Mbale Area Federation of Communities(MAFOC); Busia Area Communities Federation(BUACOFE),"Bukedi, Elgon, Bukedi, Elgon","Busia, Bududa, Manafwa, Mbale, Busia, Busia, Budaka, Butaleja, Kibuku, Sironko, Mbale, Bulambuli"
ID-61,ChildFund International,COVID-19 Activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Widen scope of implementation of eMeeting, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, ",NA,Acholi Child and Family Programme (ACFP) Masindi Child Development Federation (MACDEF) Lango Child and Community Development Federation (LACCODEF) Community Efforts for Child Empowerment (CECE) Kampala Area Federation of Communities (KAFOC) Jinja Area Communities Federation (JIACOFE) Partners for Children Worldwide (PfCW) Mbale Area Federation of Communities (MAFOC) Busia Area Communities Federation (BUACOFE,"Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Lango, Northbuganda, Southbuganda, Teso, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Lango, Northbuganda, Southbuganda, Teso, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Lango, Northbuganda, Southbuganda, Teso","Kitgum, Gulu, Agago, Busia, Budaka, Butaleja, Kibuku, Masindi, Kiryandongo, Kamuli, Jinja, Mayuge, Sironko, Mbale, Bulambuli, Kampala, Kole, Dokolo, Kwania, Kyankwanzi, Wakiso, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kapelebyong, Kitgum, Gulu, Agago"
