"ProjectID","Partner","Project","Project_Status","Pillars_supported_by_project","Activities_conducted2","Implementing_partner","Regions","Districts"
"ID-20","Farm Radio International","Supporting African Broadcasters in their COVID-19 Service to Farmers","New Project","WASH, ICT innovations, Risk communications","Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Pay Telecommunications UTL toll free for call center, None,","MOH, MOH, MOH and local radio partners","Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-21","Dan Church Aid (DCA)","DCA Humanitarian Partnership","Ongoing Project","Coordination, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Procurement of sanitizers, Procurement of soap, None,","Self implementation, Self implementation, Self implementation","West Nile","Yumbe, Arua"
"ID-22","Dan Church Aid (DCA)","Increased resilience of refugees and host communities in Arua and Lamwo District through a more effective and coordinated response during sudden emergencies.","Ongoing Project","Logistics","Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of uniforms for the contract staff, Procurement of infared thermometers, Offloadingand transportation of commodities, Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Procurement of Sprayer,trigger bottle,handheld,1 liter, Procurement of soap, Chlorination, Procure boots, None,","","Acholi, West Nile, Acholi","Lamwo, Arua, Madiokollo, Lamwo, Yumbe, Arua, Koboko, Madiokollo"
"ID-23","Dan Church Aid (DCA)","Emergency Response to COVID-19 Crisis in Refugee Settlement Areas of Bidibidi, Imvepi, Rhino, Lobule, and Kiryadongo","New Project","Coordination, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Procurement of soap, None,","The Inter Religious Council of Uganda (IRCU); Church of Uganda Teso Diocese Development Organization (TEDDO)","Bunyoro, Kampala, West Nile, Bunyoro, Kampala, West Nile, West Nile","Kiryandongo, Kampala, Yumbe, Arua, Koboko, Madiokollo, Kiryandongo, Arua, Koboko, Madiokollo"
"ID-24","WaterAid Uganda","Sustainable WASH project","Ongoing Project","Coordination, WASH, Risk communications","Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, None,","Kampala Capital City Authority","Kampala","Kampala"
"ID-25","Medical Teams International","Comprehensive Health Care for Refugee Hosting Districts","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, Risk communications","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Activate Ambulance services to aid referral of patients, Food assistance and/or specialised nutrition foods for suspects and health workers in isolation., None,","","Ankole, Bunyoro, Kigezi, Toro, West Nile, Ankole, Bunyoro, Kigezi, Toro, West Nile","Mbarara, Isingiro, Kikuube, Hoima, Kanungu, Kisoro, Kyegegwa, Kamwenge, Ntoroko, Adjumani, Moyo, Obongi, Mbarara, Isingiro, Kabale"
"ID-26","Food for the Hungry","COVID-19 Activities","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Orient Health workers on COVID-19 surveillance, Food assistance and/or specialised nutrition foods for suspects and health workers in isolation., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Purchase Megaphones for VHTs for use at sub county level, Printing of the Public Health (COVID 19) Statutory Instrument, Procurement of sanitizers, Provision of foot operated handwashing facilities, Procurement of soap, Improvement of WASH facilities in Isolation/Quaranteen centres,","District task force and other district teams, District health teams, District teams, district health teams, District health teams, District health teams","Acholi, Busoga, Lango, Acholi, Busoga, Elgon, Lango, West Nile, Acholi, Busoga, Lango, West Nile, Elgon, Acholi, Busoga","Lamwo, Kitgum, Namutumba, Kole, Lamwo, Kitgum, Kween, Mbale, Adjumani, Kitgum, Kween"
"ID-27","Street Child of Uganda","Prevent. Prepare. Protect - Supporting the world’s most vulnerable families during COVID-19","New Project","Coordination, WASH, Mental health, Risk communications, Human resources","Activation of National Task Force, district task force and sub-committees., Orientation for surge staff, Orientation and deployment of the COVID-19 National Rapid Response Team, Technical support to local governments on COVID_19 Response, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Recruitment costs for additional staff, Ensure remuneration and compensation of responders, Facilitation for COVID Response Teams,  Provision of essential food and non-food items for those families who are suffering from lockdown","AWYAD, CHAU, YARID, Build Africa, AWYAD, CHAU, YARID, Build Africa, AWYA, CHAU, Build Africa, YARID","Acholi, Bunyoro, Lango, Southbuganda, Teso, Toro, Acholi, Bunyoro, Lango, Southbuganda, Teso, Toro","Lamwo, Kiryandongo, Oyam, Lyantonde, Bukedea, Kyegegwa, Lamwo"
"ID-28","Korea Foundation for International Healthcare(KOFIH)","COVID19 Response on Emergency Medical Service","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, Logistics","Develop and issue information products including situational reports on COVID-19, Conduct a simulation/drill exercise, Orientation and deployment of the COVID-19 National Rapid Response Team, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities., Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, None,  ""Procurement of Consultancy for Development of COVID 19 Emergency Guidelines"".""Orientation of drivers and ambulance assistants in pre-hospital care response to COVID-19""""Procurement of Personal Portective Equipment for Emergency COVID-19  Response "", ""Training of Call and Dispatch Officers on Call Processing"", ""Equip the isolation unit in MasakaRRH"", ""COVID19 Test kit""","Ministry of Health (funding directly to the government), Masaka RRH, Ministry of Health, UVRI,KOFIH, Ministry of Health, Emergency Care Society, It is overlapping with above activities","Southbuganda, Kampala, Kampala, Southbuganda","Masaka, Kampala, Masaka, Bukomansimbi, Masaka"
"ID-29","Street Business School","SMS Health Education","New Project","Coordination, Infection prevention","Activation of National Task Force, district task force and sub-committees., Conduct a simulation/drill exercise, Orientation for surge staff, None,","","Busoga, Kampala, Northbuganda, Southbuganda, Busoga, Kampala, Northbuganda, Southbuganda","Iganga, Kampala, Buikwe, Luwero, Kayunga, Mukono, Wakiso, Mpigi, Iganga, Wakiso"
"ID-30","Tutapona","Covid-19 Activities only","New Project","ICT innovations, Mental health","Telemedicine/telehealth approaches during and after Covid-19 pandemic, None,","","Ankole, West Nile, Ankole, West Nile","Isingiro, Adjumani, Isingiro"
"ID-31","Tutapona","Hero's Project Radio Program","New Project","Risk communications","None,","","West Nile","Adjumani"
"ID-32","ZOA","Amudat Covid-19 response","New Project","Infection prevention, WASH, Risk communications, Logistics","Procure or construct IPC materials for health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Procurement of sanitizers, Procurement of soap, Procurement of water tanks, None,  Provision of 360 liter fuel for district and subcounty task group;","","Karamoja","Amudat"
"ID-33","ZOA","Acholi Covid-19 response","New Project","Infection prevention, WASH, Risk communications, Logistics","Procure or construct IPC materials for health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Procurement of sanitizers, Procurement of soap, Procurement of water tanks, None,  Providing 2000 liter fuel for the corona district task force","","Acholi","Omoro, Nwoya"
"ID-34","ZOA","Education Covid-19 response West Nile","New Project","WASH, Risk communications, Logistics","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of sanitizers, Procurement of soap, Procurement of water tanks, None,","","West Nile","Arua"
"ID-35","ZOA","Amudat Education Covid-19 Response","New Project","Risk communications","None,","","Karamoja","Amudat"
"ID-36","Malteser International","Emergency Response project for the Coronavirus disease 2019 (COVID-19) pandemic in South West, Mid-West and Kampala Regions in Uganda.","New Project","Coordination, Infection prevention, Surveillance, Laboratory, WASH, Mental health, Risk communications, Logistics, Human resources","Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Contact identification, contact tracing, and contact follow up and contacts of contacts, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Procurement of sanitizers, Procurement of soap, Procure boots, Recruitment costs for additional staff","CAFOMI (Care and Assistance for Forced Migrants), CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI","Bunyoro, Kampala, Kigezi, Toro, Bunyoro, Kampala, Kigezi, Toro","Kikuube, Kampala, Kanungu, Kisoro, Ntoroko, Kikuube, Kanungu"
"ID-37","Malteser International","Emergency Medical Services Project","Ongoing Project","Case management, Logistics","Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Activate Ambulance services to aid referral of patients, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), None,  Setting up of a COVID-19 Isolation Unit at Lubaga hospital.","AAPU, Lubaga Hospital and Naguru hospital, Lubaga Hospital, Naguru Hospital and Arua Regional Refferral","Kampala, Kampala, West Nile, Kampala","Kampala, Kampala, Arua"
"ID-38","Malteser International","Integrated Project for the improvement of Food & Nutrition Security and the provision of safe drinking water in underserved communities in the peri-urban areas of Wau and for the South Sudanese Refugees and their host communities in Northern Uganda.","Ongoing Project","WASH, Logistics, Human resources","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Procurement of soap, Recruitment costs for additional staff,","","West Nile, West Nile","Yumbe, Arua, Madiokollo, Arua, Madiokollo"
"ID-39","Malteser International","AA Regional Emergency Response Project","Ongoing Project","WASH, Logistics, Human resources","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Procurement of sanitizers, Procurement of soap, Construction / rehabilitation of 10 sanitation facilities in health centres and hospitals, Recruitment costs for additional staff,","","West Nile","Arua, Madiokollo"
"ID-40","Finnish Mission Uganda / Fida International","Health Component","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, WASH, Mental health, Risk communications, Logistics","Facilitation of MoH Top Management Team in coordination and support to local governments, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), None,  Education In Emergencies","Pentecostal Churches of Uganda together with us, Pentecostal Churches of Uganda with us, Pentecostal Churches of Uganda with us, Pentecostal churches of Uganda, Pentecostal churches of Uganda with us","Bunyoro, Kampala, Teso, West Nile, Bunyoro, Kampala, Teso, West Nile, Bunyoro, Teso, West Nile, Bunyoro, Teso, Bunyoro, Kampala, Teso","Masindi, Kakumiro, Hoima, Kampala, Amuria, Yumbe, Nebbi, Masindi, Hoima, Yumbe, Masindi, Buliisa, Kakumiro, Kiryandongo, Hoima, Masindi, Kiryandongo, Hoima, Soroti, Amuria"
"ID-41","Finnish Mission Uganda / Fida International","Education Component","Ongoing Project","WASH, Mental health","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, None,  Provision of Learning Materials to vulnerable children","","West Nile, West Nile","Yumbe, Yumbe"
"ID-42","World Vision Uganda","COVID19 Actvities","Ongoing Project","WASH, Mental health, Risk communications, Logistics, Human resources","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Provision of mattresses and beddings for isolation centres, Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Provision of foot operated handwashing facilities, Procurement of soap, Procure boots, Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs, Support Call Centre operators (volunteers) working in 3 shifts","","Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile, Acholi, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Teso, Toro, Kampala","Omoro, Gulu, Agago, Pader, Busia, Tororo, Butaleja, Kagadi, Kibaale, Buliisa, Hoima, Bugiri, Mayuge, Mbale, Kampala, Kaabong, Kotido, Abim, Karenga, Kole, Oyam, Buikwe, Kiboga, Mpigi, Rakai, Soroti, Amuria, Kapelebyong, Kamwenge, Bundibugyo, Yumbe, Adjumani, Arua, Moyo, Obongi, Omoro, Agago, Pader, Busia, Butaleja, Mpigi, Butambala, Rakai, Omoro, Gulu, Agago, Pader, Kagadi, Kibaale, Kikuube, Buliisa, Hoima, Kibaale, Kikuube, Buliisa, Hoima, Kole, Otuke"
"ID-43","Doctors with Africa CUAMM","COVID-19 activities only","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Orientation for surge staff, Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Identify all centres of risk and assess them for potential foci of undetected circulation of the virus, Contact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis., Activate Ambulance services to aid referral of patients, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Strengthen the District routine  reporting data,","","Karamoja, Lango","Moroto, Nakapiripirit, Napak, Amudat, Nabilatuk, Oyam"
"ID-44","Doctors with Africa CUAMM","COVID-19 Activities only","Ongoing Project","Case management, ICT innovations","Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis., Activate Ambulance services to aid referral of patients, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Strengthen the District routine  reporting data, None,","","Karamoja","Moroto, Nakapiripirit, Napak, Amudat, Nabilatuk"
"ID-45","LifeNet International","Medical Training & Quality of Care Improvement","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Risk communications, Logistics","Develop and issue information products including situational reports on COVID-19, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities., Orient Health workers on COVID-19 surveillance, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis., Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Offloadingand transportation of commodities, Procurement of sanitizers,","","Busoga, Kampala, Northbuganda, Southbuganda, Busoga, Kampala, Northbuganda, Southbuganda","Iganga, Jinja, Mayuge, Kampala, Buikwe, Luwero, Nakasongola, Mubende, Mukono, Nakaseke, Mityana, Masaka, Wakiso, Bukomansimbi, Mpigi, Lwengo, Ssembabule, Butambala, Rakai, Iganga, Jinja, Mayuge, Masaka, Wakiso, Bukomansimbi, Lwengo, Ssembabule, Butambala, Rakai, Masaka, Wakiso, Bukomansimbi, Lwengo, Butambala, Rakai"
"ID-46","Broederlijk Delen","COVID-19 activities only","Ongoing Project","Risk communications","None,","FAPAD in Lira and Amolatar, KRC in Fort Portal / Kabarole","Lango, Toro","Amolatar, Lira, Kabarole"
"ID-47","Danish Refugee Council (DRC)","UNHCR protection programming (refugee support)","Ongoing Project","Coordination, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Accomodation and food assistance for quarantineed individuals in hotels, Welfare and food assistance for quarantineed individuals in other institutions, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Implement Budget tracking and activity reporting system for the COVID-19 response, Widen scope of implementation of eMeeting, Emergency Hotline, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Ensure remuneration and compensation of responders,","HADS in Lobule, HADS in Lobule","West Nile, West Nile","Arua, Koboko, Arua, Koboko"
