"District","Coordination_n","PreventionControl_n","Surveillance_n","CaseManagement_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","Laboratory_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources","Laboratory"
"IBANDA",2,2,4,2,3,1,3,1,4,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"ISINGIRO",8,7,6,5,9,5,5,6,8,6,0,"ALIGHT ( Formerly American Refugee Committee) | Medical Teams International | Ministry of Health | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","BRAC Uganda | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation","Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation","AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Tutapona | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Farm Radio International | Tutapona | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | AWO International | Farm Radio International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees","BRAC Uganda | Danish Refugee Council (DRC) | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Danish Refugee Council (DRC) | UNICEF | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation",
"KAZO",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"KIRUHURA",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"MBARARA",3,3,5,3,5,1,3,1,4,2,0,"Medical Teams International | Ministry of Health | World Health Organisation","Medical Teams International | United States Agency for International Development | World Health Organisation","BRAC Uganda | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation","Medical Teams International | United States Agency for International Development | World Health Organisation","BRAC Uganda | Farm Radio International | Medical Teams International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"MITOOMA",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"NTUNGAMO",4,3,4,3,3,2,3,2,4,4,0,"MapUganda | Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","MapUganda | UNICEF | United States Agency for International Development | World Health Organisation",
"RUBIRIZI",2,2,4,2,3,1,3,1,4,3,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation",
"RWAMPARA",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"SHEEMA",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"BUDAKA",3,2,4,2,4,2,4,2,5,1,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","BRAC Uganda | ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"BUSIA",4,3,6,2,5,3,4,3,8,5,0,"ChildFund International | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","MapUganda | United States Agency for International Development | World Health Organisation","BRAC Uganda | Infectious Diseases Institute | Makerere University | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","BRAC Uganda | ChildFund International | Infectious Diseases Institute | Makerere University | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Infectious Diseases Institute | Makerere University | UNICEF | World Health Organisation | World Vision Uganda",
"BUTALEJA",3,2,3,2,5,3,4,3,5,2,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda",
"BUTEBO",2,2,3,2,3,1,3,1,3,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"KIBUKU",3,2,3,2,4,2,4,2,4,1,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"PALLISA",2,2,4,2,3,1,3,1,4,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"TORORO",5,5,7,3,6,2,3,3,8,3,0,"Ministry of Health | Plan International Uganda | Tackling Deadly Diseases in Africa Programme (TDDAP) | United Nations Population Fund (UNFPA) | World Health Organisation","MapUganda | Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","BRAC Uganda | Infectious Diseases Institute | Makerere University | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | World Vision Uganda","BRAC Uganda | Infectious Diseases Institute | Makerere University | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation",
"BULIISA",3,4,3,4,5,4,3,3,4,3,0,"Infectious diseases institute | Ministry of Health | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Infectious diseases institute | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | Infectious diseases institute | UNICEF | World Health Organisation | World Vision Uganda","Finnish Mission Uganda / Fida International | MapUganda | World Health Organisation | World Vision Uganda","Farm Radio International | Infectious diseases institute | World Health Organisation","Farm Radio International | Infectious diseases institute | World Vision Uganda","Infectious diseases institute | UNICEF | World Health Organisation | World Vision Uganda","Infectious diseases institute | World Health Organisation | World Vision Uganda",
"HOIMA",9,8,6,7,10,6,4,7,9,5,0,"Finnish Mission Uganda / Fida International | Infectious diseases institute | Medical Teams International | Ministry of Health | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation","Finnish Mission Uganda / Fida International | Infectious diseases institute | Infectious Diseases Institute | Makerere University | Medical Teams International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Finnish Mission Uganda / Fida International | Infectious diseases institute | Medical Teams International | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | Medical Teams International | UNICEF | Womena Uganda | World Health Organisation","Farm Radio International | Finnish Mission Uganda / Fida International | Infectious diseases institute | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","Finnish Mission Uganda / Fida International | MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Infectious diseases institute | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | Finnish Mission Uganda / Fida International | Infectious diseases institute | Norwegian Refugee Council (NRC) | UNICEF | Womena Uganda | World Vision Uganda","BRAC Uganda | Finnish Mission Uganda / Fida International | Infectious diseases institute | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","Infectious diseases institute | UNICEF | Womena Uganda | World Health Organisation | World Vision Uganda",
"KAGADI",5,5,4,5,6,2,3,4,5,3,0,"Clinton Health Access Initiative | Infectious diseases institute | International Rescue Committee (IRC) | Ministry of Health | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | World Health Organisation","Infectious diseases institute | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | World Health Organisation","Farm Radio International | Infectious diseases institute | International Rescue Committee (IRC) | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | Infectious diseases institute | World Health Organisation","Farm Radio International | Infectious diseases institute | International Rescue Committee (IRC) | World Vision Uganda","Infectious diseases institute | International Rescue Committee (IRC) | UNICEF | World Health Organisation | World Vision Uganda","Infectious diseases institute | International Rescue Committee (IRC) | World Health Organisation",
"KAKUMIRO",5,4,3,4,4,2,3,2,3,2,0,"Clinton Health Access Initiative | Finnish Mission Uganda / Fida International | Infectious diseases institute | Ministry of Health | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Infectious diseases institute | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | Infectious diseases institute | UNICEF | World Health Organisation","Finnish Mission Uganda / Fida International | World Health Organisation","Farm Radio International | Infectious diseases institute | World Health Organisation","Farm Radio International | Infectious diseases institute","Infectious diseases institute | UNICEF | World Health Organisation","Infectious diseases institute | World Health Organisation",
"KIBAALE",4,4,3,4,5,2,3,3,4,3,0,"Clinton Health Access Initiative | Infectious diseases institute | Ministry of Health | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Infectious diseases institute | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | Infectious diseases institute | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | Infectious diseases institute | World Health Organisation","Farm Radio International | Infectious diseases institute | World Vision Uganda","Infectious diseases institute | UNICEF | World Health Organisation | World Vision Uganda","Infectious diseases institute | World Health Organisation | World Vision Uganda",
"KIKUUBE",12,13,8,9,17,9,6,12,13,8,0,"Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Infectious diseases institute | Malteser International | Medical Teams International | Ministry of Health | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Infectious diseases institute | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Cordaid | Infectious diseases institute | Malteser International | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Infectious diseases institute | Infectious Diseases Institute | Makerere University | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Humanity & Inclusion | Infectious diseases institute | Lutheran World Federation | Malteser International | Medical Teams International | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Humanity & Inclusion | Malteser International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Infectious diseases institute | United Nations Population Fund (UNFPA) | World Health Organisation","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Farm Radio International | Infectious diseases institute | Lutheran World Federation | Malteser International | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Humanity & Inclusion | Infectious diseases institute | Lutheran World Federation | Malteser International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Infectious diseases institute | Lutheran World Federation | Malteser International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda",
"KIRYANDONGO",11,9,6,7,13,8,5,8,11,4,0,"Action Against Hunger | AVSI FOUNDATION | ChildFund International | Dan Church Aid (DCA) | Infectious diseases institute | Ministry of Health | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | Infectious diseases institute | Infectious Diseases Institute | Makerere University | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | BRAC Uganda | Infectious diseases institute | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","AVSI FOUNDATION | Infectious diseases institute | Infectious Diseases Institute | Makerere University | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","AVSI FOUNDATION | ChildFund International | Dan Church Aid (DCA) | Farm Radio International | Finnish Mission Uganda / Fida International | Infectious diseases institute | Save the Children International | Street Child of Uganda | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Finnish Mission Uganda / Fida International | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | Infectious diseases institute | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | ChildFund International | Farm Radio International | Infectious diseases institute | Street Child of Uganda | The Water Trust | UNICEF | United Nations High Commissioner For Refugees","Action Against Hunger | AVSI FOUNDATION | BRAC Uganda | ChildFund International | Dan Church Aid (DCA) | Infectious diseases institute | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Infectious diseases institute | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation",
"MASINDI",6,7,5,4,8,4,4,5,7,2,0,"BRAC Uganda | ChildFund International | Finnish Mission Uganda / Fida International | Infectious diseases institute | Ministry of Health | World Health Organisation","BRAC Uganda | Finnish Mission Uganda / Fida International | Infectious diseases institute | Infectious Diseases Institute | Makerere University | The Water Trust | World Health Organisation","BRAC Uganda | Finnish Mission Uganda / Fida International | Infectious diseases institute | Ministry of Security | World Health Organisation","Infectious diseases institute | Infectious Diseases Institute | Makerere University | World Health Organisation","BRAC Uganda | ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Infectious diseases institute | The Water Trust | UNICEF | World Health Organisation","BRAC Uganda | ChildFund International | Finnish Mission Uganda / Fida International | World Health Organisation","ChildFund International | Farm Radio International | Infectious diseases institute | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Infectious diseases institute | The Water Trust","BRAC Uganda | ChildFund International | Finnish Mission Uganda / Fida International | Infectious diseases institute | The Water Trust | UNICEF | World Health Organisation","Infectious diseases institute | World Health Organisation",
"BUGIRI",2,2,4,2,4,2,3,2,5,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | World Vision Uganda","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda",
"BUGWERI",2,2,4,2,3,1,3,1,4,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"BUYENDE",3,3,4,3,4,1,3,2,4,1,0,"Ministry of Health | Plan International Uganda | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda","Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
